,text,created_at,id_str,retweet_count,favorite_count,in_reply_to_screen_name,geo,source,language,followers_count,id,name_at_tweet_time,screen_name,user_location,user_created_at,search_term_group,search_term,ibm_watson_sentiment,ibm_watson_sentiment_label
1317,@ifbbvc O SPOILER KIARA VAIO AGORA ASSISTIR,2021-11-29 01:20:43,1465128556321726464,0,0,ifbbvc,,Twitter for Android,pt,322,1446885029041278981,1 year with tu! ♡,thymiau,💭  !  ele/ela.,2021-10-09 17:07:42+00:00,sony,vaio,0.0,neutral
629,"@analimats Foi um Notebook Samsung Book NP550XDA-KF2BR Intel Core i5 - 8GB 256GB SSD 15,6” Full HD Windows 10 pelas… https://t.co/XUWrWocqnk",2021-11-27 11:53:48,1464563103010594816,0,2,analimats,,Twitter Web App,pt,114,1009171596861497344,Karina,Kalisan_,"Recife, Brasil",2018-06-19 20:30:33+00:00,samsung,samsung book,0.65413,positive
2264,@wesleymchd KAJXKAKDKSKDKSKDK com 15 anos n sabia nem oq era tlgd,2021-11-24 22:26:47,1463635233941696512,0,0,wesleymchd,,Twitter for Android,pt,735,3363123251,giovanna,Gii_Gigabyte,021 // 022,2015-07-06 21:38:18+00:00,gigabyte,Gigabyte,-0.787915,negative
1483,"Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB

💻 R$ 3.590,75 em até 12x sem juros

🛒Compre aqui:… https://t.co/BUpt9OP6pu",2021-11-22 15:22:42,1462803735168622592,0,0,,,Twitter Web App,pt,8,1392938182661001224,Safari Buy,BuySafari,,2021-05-13 20:22:07+00:00,samsung,samsung book,0.667535,positive
1694,"O Produto voltou ao estoque: Placa de Video Gigabyte GeForce RTX 3070 Ti Aorus Master 8GB GDDR6X 256-bit, GV-N307TA… https://t.co/y3Aj5knuyN",2021-11-26 19:00:35,1464308117110501376,0,1,,,placasdevideo.com,pt,2606,1375281889682944002,placasdevideo.com,Xplacasdevideo,,2021-03-26 03:02:22+00:00,gigabyte,Gigabyte,0.708222,positive
1482,"graças a deus, domingo tem enem https://t.co/EyV73NOXZh",2021-11-28 03:31:54,1464799184029163520,0,0,,,Twitter for Android,pt,735,3363123251,giovanna,Gii_Gigabyte,021 // 022,2015-07-06 21:38:18+00:00,gigabyte,Gigabyte,0.96424,positive
1194,"@Katiroco @SamsungBrasil @DellnoBrasil @positivooficial @vaio_brasil @Lenovobr po, o meu tem 7 anos e só deu problema agora",2021-11-26 21:18:55,1464342929657499648,0,0,Katiroco,,Twitter for iPhone,pt,27086,1470293587,BFR MIL GRAU,bfrmilgrau,Estádio Nilton Santos,2013-05-30 17:37:10+00:00,sony,vaio,-0.822215,negative
1206,"Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, Branco - ROG-STRIX-RTX3090-24G-W...

🙁 SUBIU e AGORA CUSTA:… https://t.co/CLrXlWx2Xe",2021-11-26 01:54:29,1464049890565185536,0,0,,,gpubipolar,pt,17006,1285199873890045953,GPU Bipolar,gpubipolar,,2020-07-20 13:08:51+00:00,asus,rog strix,0.502887,positive
1687,RT @somosaopaulinos: Existe apenas um são-paulino feliz com o título do Palmeiras: Abel Ferreira...,2021-11-27 22:45:57,1464727219381669888,392,0,,,Twitter for iPhone,pt,298,1028007162231103488,1024MB_GigaByte🇾🇪,GB_Gigabyte,"Rio de Janeiro, Brasil",2018-08-10 19:56:21+00:00,gigabyte,Gigabyte,0.900812,positive
1037,@Thinkpad_dede @laailachaves @glaurexx sumaré q onde seria inclusive cancelou tambem,2021-11-26 17:23:23,1464283658156752896,0,0,Thinkpad_dede,,Twitter Web App,pt,148,4061525249,"tabata amaral, a angela merkel brasileira",OVirtuosissimo,,2015-10-28 15:39:43+00:00,lenovo,thinkpad,-0.505123,negative
969,"Atualizou o Produto: Placa de Vídeo Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, Branco - ROG-STRIX-RTX30… https://t.co/X3O2FC60p4",2021-11-26 03:28:26,1464073534720905216,0,0,,,placasdevideo.com,pt,2606,1375281889682944002,placasdevideo.com,Xplacasdevideo,,2021-03-26 03:02:22+00:00,asus,rog strix,0.0,neutral
1276,"Atualizou o Produto: Placa de Vídeo Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, Branco - ROG-STRIX-RTX30… https://t.co/6G60lrWSHz",2021-11-26 12:25:58,1464208810206191616,0,0,,,placasdevideo.com,pt,2606,1375281889682944002,placasdevideo.com,Xplacasdevideo,,2021-03-26 03:02:22+00:00,asus,rog strix,0.0,neutral
2379,"quinta-feira, 25 de novembro de 2021

Fab: Gigabyte  | 🥷 Prime Desconto | 📤 OPENBOX

Fab. ReclameAQUI: -- CUIDADO… https://t.co/xLQrtZYuOi",2021-11-25 03:55:51,1463718046837755904,0,0,placamaebipolar,,Hardware Bipolar v1,pt,2441,1294713842690338816,PLACA-MÂE Bipolar // 🤖Monitoro preços de MoBo,placamaebipolar,,2020-08-15 19:13:37+00:00,gigabyte,Gigabyte,-0.454816,negative
729,"O Produto voltou ao estoque: Placa de Vídeo Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, Branco - ROG-STR… https://t.co/rR5WQiSPMm",2021-11-23 00:00:09,1462933955066351616,0,2,,,placasdevideo.com,pt,2606,1375281889682944002,placasdevideo.com,Xplacasdevideo,,2021-03-26 03:02:22+00:00,asus,rog strix,0.68583,positive
457,Abel ferreira acabou com o Palmeiras,2021-11-27 21:43:38,1464711539676561408,0,0,,,Twitter for Android,pt,269,4077099747,Deco,Thinkpad_dede,"São Paulo, Brésil",2015-10-30 18:56:43+00:00,lenovo,thinkpad,0.0,neutral
1034,"@xitry7 tenho a versão dele em 240, e a mesma merda do da alienware e a do banq ja usei e já testei esses dois, o ú… https://t.co/VpJAHMiGYO",2021-11-23 19:33:23,1463229208507916288,0,0,xitry7,,Twitter Web App,pt,133,1404462519427735562,kartzy,kartzyz,,2021-06-14 15:35:44+00:00,dell,alienware,-0.96345,negative
2194,"quinta-feira, 25 de novembro de 2021

Fab: Gigabyte  | 📤 OPENBOX

Fab. ReclameAQUI: -- CUIDADO ⚠️ Respondidas: 0/13… https://t.co/1VxJ0yoLtU",2021-11-25 22:31:41,1463998855192715264,0,0,placamaebipolar,,Hardware Bipolar v1,pt,2441,1294713842690338816,PLACA-MÂE Bipolar // 🤖Monitoro preços de MoBo,placamaebipolar,,2020-08-15 19:13:37+00:00,gigabyte,Gigabyte,0.0,neutral
352,"MELHOR PREÇO DO FIM DE SEMANA!

Notebook Lenovo Ideapad 3i, Intel Core i5 10210U, 8GB RAM, 256GB SSD, W10, Tela 15.… https://t.co/IpxaaXPWzK",2021-11-28 13:35:11,1464951002168180736,1,1,,,Twitter Web App,pt,71,1458425665980702724,O MELHOR NOTEBOOK PARA VOCÊ!,ajudantbk,Goiânia,2021-11-10 13:26:03+00:00,lenovo,ideapad,0.853705,positive
1410,"Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, Branco - ROG-STRIX-RTX3090-24G-W...

😃 REDUZIU e CUSTA: R$ 2… https://t.co/5R2EwONGcU",2021-11-26 11:35:01,1464195986008555520,0,1,,,gpubipolar,pt,17006,1285199873890045953,GPU Bipolar,gpubipolar,,2020-07-20 13:08:51+00:00,asus,rog strix,-0.239439,negative
2029,RT @MURIEL_DA_DEPRE: Cada vez q eu vejo essas brigas entre organizadas do próprio time mais eu me vejo junto com os coroas na Sul inferior…,2021-11-24 01:32:58,1463319700566421504,3,0,,,Twitter for Android,pt,1265,1026135956007608320,Duudaaᶠᶠᶜ ミ☆🇭🇺,duudaa_ffc,Penha / Ilha do Governador,2018-08-05 16:00:51+00:00,sony,vaio,-0.823869,negative
