,Unnamed: 0,text,created_at,id_str,retweet_count,favorite_count,in_reply_to_screen_name,geo,source,language,followers_count,id,name_at_tweet_time,screen_name,user_location,user_created_at,search_term_group,search_term,ibm_watson_sentiment,ibm_watson_sentiment_label,textEN,ibm_watson_tranlation_character_count,textblob_polarity,textblob_subjectivity
0,1317,@ifbbvc O SPOILER KIARA VAIO AGORA ASSISTIR,2021-11-29 01:20:43,1465128556321726464,0,0,ifbbvc,,Twitter for Android,pt,322,1446885029041278981,1 year with tu! ♡,thymiau,💭  !  ele/ela.,2021-10-09 17:07:42+00:00,sony,vaio,0.0,neutral,@ifbbvc THE SPOILER KIARA VAIO NOW WATCH,43,0.0,0.0
1,629,"@analimats Foi um Notebook Samsung Book NP550XDA-KF2BR Intel Core i5 - 8GB 256GB SSD 15,6” Full HD Windows 10 pelas… https://t.co/XUWrWocqnk",2021-11-27 11:53:48,1464563103010594816,0,2,analimats,,Twitter Web App,pt,114,1009171596861497344,Karina,Kalisan_,"Recife, Brasil",2018-06-19 20:30:33+00:00,samsung,samsung book,0.65413,positive,"@analimats It was a Notebook Samsung Book NP550XDA-KF2BR Intel Core i5-8GB 256GB SSD 15.6 "" Full HD Windows 10 by the ... https://t.co/XUWrWocqnk",140,0.35,0.55
2,2264,@wesleymchd KAJXKAKDKSKDKSKDK com 15 anos n sabia nem oq era tlgd,2021-11-24 22:26:47,1463635233941696512,0,0,wesleymchd,,Twitter for Android,pt,735,3363123251,giovanna,Gii_Gigabyte,021 // 022,2015-07-06 21:38:18+00:00,gigabyte,Gigabyte,-0.7879149999999999,negative,@wesleymchd KAJXKAKDKSKDKSKDK with 15 years n knew no oq was tlgd,65,0.0,0.0
3,1483,"Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB

💻 R$ 3.590,75 em até 12x sem juros

🛒Compre aqui:… https://t.co/BUpt9OP6pu",2021-11-22 15:22:42,1462803735168622592,0,0,,,Twitter Web App,pt,8,1392938182661001224,Safari Buy,BuySafari,,2021-05-13 20:22:07+00:00,samsung,samsung book,0.667535,positive,"Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB

💻 R$ 3,590.75 in up to 12x without interest

🛒Buy here: ... https://t.co/BUpt9OP6pu",128,0.0,0.0
4,1694,"O Produto voltou ao estoque: Placa de Video Gigabyte GeForce RTX 3070 Ti Aorus Master 8GB GDDR6X 256-bit, GV-N307TA… https://t.co/y3Aj5knuyN",2021-11-26 19:00:35,1464308117110501376,0,1,,,placasdevideo.com,pt,2606,1375281889682944002,placasdevideo.com,Xplacasdevideo,,2021-03-26 03:02:22+00:00,gigabyte,Gigabyte,0.708222,positive,"The Product has returned to stock: Video Board Gigabyte GeForce RTX 3070 Ti Aorus Master 8GB GDDR6X 256-bit, GV-N307TA ... https://t.co/y3Aj5knuyN",140,0.0,0.0
5,1482,"graças a deus, domingo tem enem https://t.co/EyV73NOXZh",2021-11-28 03:31:54,1464799184029163520,0,0,,,Twitter for Android,pt,735,3363123251,giovanna,Gii_Gigabyte,021 // 022,2015-07-06 21:38:18+00:00,gigabyte,Gigabyte,0.96424,positive,"thanks to god, Sunday has enem https://t.co/EyV73NOXZh",55,0.2,0.2
6,1194,"@Katiroco @SamsungBrasil @DellnoBrasil @positivooficial @vaio_brasil @Lenovobr po, o meu tem 7 anos e só deu problema agora",2021-11-26 21:18:55,1464342929657499648,0,0,Katiroco,,Twitter for iPhone,pt,27086,1470293587,BFR MIL GRAU,bfrmilgrau,Estádio Nilton Santos,2013-05-30 17:37:10+00:00,sony,vaio,-0.8222149999999999,negative,"@Katiroco @SamsungBrasil @DellnoBrasil @positivooficial @vaio_brasil @Lenovobr po, mine is 7 years old and it just gave trouble now",123,-0.05,0.2
7,1206,"Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, Branco - ROG-STRIX-RTX3090-24G-W...

🙁 SUBIU e AGORA CUSTA:… https://t.co/CLrXlWx2Xe",2021-11-26 01:54:29,1464049890565185536,0,0,,,gpubipolar,pt,17006,1285199873890045953,GPU Bipolar,gpubipolar,,2020-07-20 13:08:51+00:00,asus,rog strix,0.502887,positive,"Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, White-ROG-STRIX-RTX3090-24G-W. ..

🙁 WENT up and NOW IT COSTS: ... https://t.co/CLrXlWx2Xe",140,0.0,0.0
8,1687,RT @somosaopaulinos: Existe apenas um são-paulino feliz com o título do Palmeiras: Abel Ferreira...,2021-11-27 22:45:57,1464727219381669888,392,0,,,Twitter for iPhone,pt,298,1028007162231103488,1024MB_GigaByte🇾🇪,GB_Gigabyte,"Rio de Janeiro, Brasil",2018-08-10 19:56:21+00:00,gigabyte,Gigabyte,0.9008120000000001,positive,RT @somosaopaulinos: There is only one sam-paulino happy with the title of the Palmeiras: Abel Ferreira ...,99,0.4,1.0
9,1037,@Thinkpad_dede @laailachaves @glaurexx sumaré q onde seria inclusive cancelou tambem,2021-11-26 17:23:23,1464283658156752896,0,0,Thinkpad_dede,,Twitter Web App,pt,148,4061525249,"tabata amaral, a angela merkel brasileira",OVirtuosissimo,,2015-10-28 15:39:43+00:00,lenovo,thinkpad,-0.505123,negative,@Thinkpad_dede @laailachaves @glaurexx sumaré q where it would be even cancelled tambon,84,0.0,0.0
10,969,"Atualizou o Produto: Placa de Vídeo Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, Branco - ROG-STRIX-RTX30… https://t.co/X3O2FC60p4",2021-11-26 03:28:26,1464073534720905216,0,0,,,placasdevideo.com,pt,2606,1375281889682944002,placasdevideo.com,Xplacasdevideo,,2021-03-26 03:02:22+00:00,asus,rog strix,0.0,neutral,"Updated the Product: Asus Video Board NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, White-ROG-STRIX-RTX30 ... https://t.co/X3O2FC60p4",140,0.0,0.0
11,1276,"Atualizou o Produto: Placa de Vídeo Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, Branco - ROG-STRIX-RTX30… https://t.co/6G60lrWSHz",2021-11-26 12:25:58,1464208810206191616,0,0,,,placasdevideo.com,pt,2606,1375281889682944002,placasdevideo.com,Xplacasdevideo,,2021-03-26 03:02:22+00:00,asus,rog strix,0.0,neutral,"Updated the Product: Asus Video Board NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, White-ROG-STRIX-RTX30 ... https://t.co/6G60lrWSHz",140,0.0,0.0
12,2379,"quinta-feira, 25 de novembro de 2021

Fab: Gigabyte  | 🥷 Prime Desconto | 📤 OPENBOX

Fab. ReclameAQUI: -- CUIDADO… https://t.co/xLQrtZYuOi",2021-11-25 03:55:51,1463718046837755904,0,0,placamaebipolar,,Hardware Bipolar v1,pt,2441,1294713842690338816,PLACA-MÂE Bipolar // 🤖Monitoro preços de MoBo,placamaebipolar,,2020-08-15 19:13:37+00:00,gigabyte,Gigabyte,-0.454816,negative,"Thursday, November 25, 2021

Fab: Gigabyte | 🥷 Prime Discount | 📤 OPENBOX

Fab. ReclameAQUI: -- CAUTION ... https://t.co/xLQrtZYuOi",140,0.0,0.0
13,729,"O Produto voltou ao estoque: Placa de Vídeo Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, Branco - ROG-STR… https://t.co/rR5WQiSPMm",2021-11-23 00:00:09,1462933955066351616,0,2,,,placasdevideo.com,pt,2606,1375281889682944002,placasdevideo.com,Xplacasdevideo,,2021-03-26 03:02:22+00:00,asus,rog strix,0.68583,positive,"The Product has returned to stock: Video Board Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, White-ROG-STR ... https://t.co/rR5WQiSPMm",140,0.0,0.0
14,457,Abel ferreira acabou com o Palmeiras,2021-11-27 21:43:38,1464711539676561408,0,0,,,Twitter for Android,pt,269,4077099747,Deco,Thinkpad_dede,"São Paulo, Brésil",2015-10-30 18:56:43+00:00,lenovo,thinkpad,0.0,neutral,Abel ferreira ended up with the Palmeiras,36,0.0,0.0
